feature,coef,abs_coef
Fase_4,3.651502828350976,3.651502828350976
Fase_5,2.849849071386807,2.849849071386807
Fase_0,-2.671709527595126,2.671709527595126
Idade 22,-2.4922098745353036,2.4922098745353036
IEG,2.4617340115690265,2.4617340115690265
Fase_2,-1.8195787792326505,1.8195787792326505
Turma_A,1.6526688375765237,1.6526688375765237
Pedra 22_Topázio,1.4858625141388682,1.4858625141388682
Turma_K,1.4370987795466081,1.4370987795466081
Turma_L,1.3326318962814447,1.3326318962814447
Pedra 22_Ágata,-1.3184787219974545,1.3184787219974545
Fase_3,-1.2539858968269126,1.2539858968269126
Ano ingresso,-0.8800839895249681,0.8800839895249681
IDA,-0.8536234373321677,0.8536234373321677
Turma_P,-0.8202112983252904,0.8202112983252904
Fase_1,-0.7663358331674274,0.7663358331674274
Turma_D,-0.5441020309503728,0.5441020309503728
Turma_M,-0.48712607096243826,0.48712607096243826
Turma_C,-0.4320554972494912,0.4320554972494912
Turma_N,-0.42775384336850786,0.42775384336850786
Turma_B,0.42297570046256927,0.42297570046256927
Turma_J,-0.39430593471690006,0.39430593471690006
Turma_Z,-0.31326440338623446,0.31326440338623446
Pedra 22_Quartzo,-0.29899973465000684,0.29899973465000684
Gênero_Menino,-0.26230525393927834,0.26230525393927834
Turma_G,-0.26133253241633775,0.26133253241633775
Turma_R,-0.2524410457108436,0.2524410457108436
Gênero_Menina,0.23573305424194282,0.23573305424194282
Turma_H,-0.21248860541948028,0.21248860541948028
Turma_U,-0.20812793263676452,0.20812793263676452
